Species	AT_tv_rate	AT_ts_rate	NoncpgGC_tv_rate	NoncpgGC_ts_rate	Cpg_ts_rate	Cpg_tv_rate
human	0.001423831	0.003227548	0.00223993	0.003309423	0.047311766	0.005406841
chimpanzee	0.001628522	0.003322482	0.002397311	0.003530825	0.049443675	0.005179487
orangutan	0.00379977	0.008329072	0.006228418	0.010790769	0.123071938	0.013082437
rhesus_macaque	0.000618057	0.001050142	0.000869806	0.001463548	0.017620156	0.001908688
crab-eating_macaque	0.000387819	0.000724277	0.000515393	0.000964083	0.012630188	0.001293069
baboon	0.001755363	0.003387315	0.002333058	0.004955536	0.053295294	0.005641816
green_monkey	0.003026949	0.005543438	0.00376226	0.007727253	0.080242701	0.009575784
marmoset	0.009102605	0.015740433	0.010516671	0.019340006	0.186358465	0.026464842
squirrel_monkey	0.008821823	0.016083037	0.01021587	0.01933799	0.167920881	0.024418822
